,"United States (USD)",,"Canada (CAD)",,"Mexico (MXN)",,"Australia (AUD)",,"New Zealand (NZD)",,"Japan (JPY)",,"China (CNY)",,"Singapore (SGD)",,"Hong Kong (HKD)",,"Taiwan (TWD)",,"Indonesia (IDR)",,"India (INR)",,"Russia (RUB)",,"Turkey (TRY)",,"Israel (ILS)",,"South Africa (ZAR)",,"Saudi Arabia (SAR)",,"United Arab Emirates (AED)",,"United Kingdom (GBP)",,"Denmark (DKK)",,"Sweden (SEK)",,"Switzerland (CHF)",,"Norway (NOK)",,"Luxembourg (EUR)",,"Malta (EUR)",,"Cyprus (EUR)",,"Germany (EUR)",,"France (EUR)",,"Austria (EUR)",,"Bulgaria (BGN)",,"Estonia (EUR)",,"Slovakia (EUR)",,"Belgium (EUR)",,"Czech Republic (CZK)",,"Latvia (EUR)",,"Lithuania (EUR)",,"Netherlands (EUR)",,"Spain (EUR)",,"Italy (EUR)",,"Slovenia (EUR)",,"Greece (EUR)",,"Ireland (EUR)",,"Poland (PLN)",,"Portugal (EUR)",,"Finland (EUR)",,"Romania (RON)",,"Hungary (HUF)",,"Korea, Republic Of (USD)",,"Thailand (THB)",,"Iceland (USD)",,"Croatia (HRK)",,"Albania (USD)",,"Malaysia (MYR)",,"Philippines (PHP)",,"Vietnam (VND)",,"Egypt (EGP)",,"Kazakhstan (KZT)",,"Qatar (QAR)",,"Nigeria (NGN)",,"Pakistan (PKR)",,"Tanzania, United Republic Of (TZS)",,"Chile (CLP)",,"Colombia (COP)",,"Peru (PEN)",,"Brazil (BRL)",
,"Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds"
Free,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00000","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
Tier 1,"0.99","0.70","1.39","0.97","19.00","13.30","1.49","0.95","1.49","0.91","120.00000","84.00","6.00","4.12","1.48","1.04","8.00","5.60","30.00","20.00","15000.00","10500.00","80.00","47.46","75.00","44.49","3.49","2.44","3.50","2.45","14.99","9.20","3.69","2.58","3.69","2.58","0.99","0.58","9.00","5.04","10.00","5.60","1.00","0.65","11.00","6.16","1.09","0.65","1.09","0.65","1.09","0.64","1.09","0.64","1.09","0.64","1.09","0.64","1.99","1.16","1.09","0.64","1.09","0.64","1.09","0.63","29.00","16.78","1.09","0.63","1.09","0.63","1.09","0.63","1.09","0.63","1.09","0.63","1.09","0.63","1.09","0.62","1.09","0.62","4.99","2.84","1.09","0.62","1.09","0.62","4.99","2.94","349.00","192.36","1.09","0.77","35.00","24.50","1.23","0.70","8.99","5.03","1.19","0.70","3.90","2.73","49.00","34.30","22000.00","15400.00","18.99","11.76","349.00","244.30","3.69","2.58","300.00","210.00","100.00","70.00","2200.00","1540.00","690.00","483.00","2900.00","2030.00","3.50","2.45","3.50","2.45"
Tier 2,"1.99","1.40","2.79","1.95","39.00","27.30","2.99","1.90","2.99","1.82","240.00000","168.00","12.00","8.23","2.98","2.09","15.00","10.50","60.00","40.00","29000.00","20300.00","160.00","94.92","149.00","88.39","6.99","4.89","6.90","4.83","29.99","18.41","7.29","5.10","7.29","5.10","1.99","1.16","17.00","9.52","20.00","11.20","2.00","1.30","22.00","12.32","2.29","1.37","2.29","1.36","2.29","1.35","2.29","1.35","2.29","1.34","2.29","1.34","4.49","2.62","2.29","1.34","2.29","1.34","2.29","1.32","59.00","34.13","2.29","1.32","2.29","1.32","2.29","1.32","2.29","1.32","2.29","1.31","2.29","1.31","2.29","1.29","2.29","1.30","8.99","5.12","2.29","1.30","2.29","1.29","9.99","5.88","699.00","385.28","2.19","1.54","69.00","48.30","2.47","1.40","16.99","9.51","2.39","1.40","7.90","5.53","99.00","69.30","45000.00","31500.00","37.99","23.53","699.00","489.30","7.29","5.10","600.00","420.00","200.00","140.00","4500.00","3150.00","1300.00","910.00","5900.00","4130.00","6.90","4.83","6.90","4.83"
Tier 3,"2.99","2.10","3.99","2.79","59.00","41.30","4.49","2.86","4.49","2.73","360.00000","252.00","18.00","12.35","4.48","3.14","23.00","16.10","90.00","60.00","45000.00","31500.00","250.00","148.31","229.00","135.85","9.99","6.99","10.90","7.63","49.99","30.70","10.99","7.69","10.99","7.69","2.99","1.74","25.00","14.00","30.00","16.80","3.00","1.95","33.00","18.48","3.49","2.09","3.49","2.07","3.49","2.05","3.49","2.05","3.49","2.04","3.49","2.04","6.49","3.79","3.49","2.04","3.49","2.04","3.49","2.02","89.00","51.49","3.49","2.02","3.49","2.02","3.49","2.02","3.49","2.02","3.49","2.00","3.49","2.00","3.49","1.97","3.49","1.99","13.99","7.96","3.49","1.99","3.49","1.97","14.99","8.82","1090.00","601.00","3.29","2.31","99.00","69.30","3.71","2.10","24.99","13.99","3.59","2.10","12.90","9.03","149.00","104.30","69000.00","48300.00","54.99","34.06","999.00","699.30","10.99","7.69","900.00","630.00","300.00","210.00","6500.00","4550.00","1900.00","1330.00","8900.00","6230.00","9.90","6.93","9.90","6.93"
Tier 4,"3.99","2.80","5.49","3.84","79.00","55.30","5.99","3.81","5.99","3.65","480.00000","336.00","25.00","17.15","5.98","4.19","28.00","19.60","120.00","80.00","59000.00","41300.00","300.00","177.97","299.00","177.37","13.99","9.79","13.90","9.73","59.99","36.84","14.99","10.49","14.99","10.49","3.99","2.33","35.00","19.60","40.00","22.40","4.00","2.60","44.00","24.64","4.49","2.69","4.49","2.66","4.49","2.64","4.49","2.64","4.49","2.62","4.49","2.62","8.49","4.95","4.49","2.62","4.49","2.62","4.49","2.60","119.00","68.84","4.49","2.60","4.49","2.60","4.49","2.60","4.49","2.60","4.49","2.58","4.49","2.58","4.49","2.53","4.49","2.56","18.99","10.81","4.49","2.56","4.49","2.53","19.99","11.76","1490.00","821.26","4.39","3.08","139.00","97.30","4.95","2.80","34.99","19.59","4.79","2.80","16.90","11.83","199.00","139.30","89000.00","62300.00","74.99","46.45","1390.00","973.00","14.99","10.49","1200.00","840.00","400.00","280.00","8900.00","6230.00","2500.00","1750.00","11900.00","8330.00","12.90","9.03","12.90","9.03"
Tier 5,"4.99","3.50","6.99","4.89","99.00","69.30","7.99","5.08","7.49","4.56","600.00000","420.00","30.00","20.58","6.98","4.89","38.00","26.60","150.00","100.00","75000.00","52500.00","400.00","237.29","379.00","224.83","17.99","12.59","17.90","12.53","79.99","49.12","17.99","12.59","17.99","12.59","4.99","2.91","45.00","25.20","50.00","28.00","5.00","3.25","55.00","30.80","5.49","3.28","5.49","3.26","5.49","3.23","5.49","3.23","5.49","3.20","5.49","3.20","10.99","6.41","5.49","3.20","5.49","3.20","5.49","3.18","149.00","86.20","5.49","3.18","5.49","3.18","5.49","3.18","5.49","3.18","5.49","3.15","5.49","3.15","5.49","3.10","5.49","3.12","23.99","13.65","5.49","3.12","5.49","3.10","24.99","14.70","1790.00","987.00","5.49","3.85","179.00","125.30","6.19","3.50","42.99","24.07","5.99","3.50","19.90","13.93","249.00","174.30","109000.00","76300.00","94.99","58.84","1690.00","1183.00","17.99","12.59","1500.00","1050.00","500.00","350.00","10900.00","7630.00","3500.00","2450.00","14900.00","10430.00","16.90","11.83","16.90","11.83"
Tier 6,"5.99","4.20","8.49","5.94","109.00","76.30","9.99","6.36","8.99","5.47","720.00000","504.00","40.00","27.44","8.98","6.29","48.00","33.60","180.00","120.00","89000.00","62300.00","500.00","296.61","459.00","272.29","19.99","13.99","19.90","13.93","99.99","61.40","20.99","14.69","20.99","14.69","5.99","3.49","49.00","27.44","65.00","36.40","6.00","3.90","65.00","36.40","6.99","4.18","6.99","4.15","6.99","4.11","6.99","4.11","6.99","4.08","6.99","4.08","12.99","7.58","6.99","4.08","6.99","4.08","6.99","4.04","179.00","103.55","6.99","4.04","6.99","4.04","6.99","4.04","6.99","4.04","6.99","4.01","6.99","4.01","6.99","3.95","6.99","3.98","27.99","15.93","6.99","3.98","6.99","3.95","29.99","17.64","2290.00","1262.20","6.59","4.62","209.00","146.30","7.43","4.20","49.99","27.99","7.19","4.20","24.90","17.43","299.00","209.30","129000.00","90300.00","109.99","68.14","1990.00","1393.00","20.99","14.69","1900.00","1330.00","600.00","420.00","12900.00","9030.00","3900.00","2730.00","17900.00","12530.00","19.90","13.93","19.90","13.93"
Tier 7,"6.99","4.90","9.99","6.99","129.00","90.30","10.99","6.99","9.99","6.08","840.00000","588.00","45.00","30.87","9.98","6.99","53.00","37.10","210.00","140.00","99000.00","69300.00","550.00","326.27","529.00","313.81","24.99","17.49","25.90","18.13","109.99","67.54","24.99","17.49","24.99","17.49","6.99","4.08","59.00","33.04","75.00","42.00","7.00","4.55","75.00","42.00","7.99","4.78","7.99","4.74","7.99","4.70","7.99","4.70","7.99","4.66","7.99","4.66","14.99","8.74","7.99","4.66","7.99","4.66","7.99","4.62","199.00","115.12","7.99","4.62","7.99","4.62","7.99","4.62","7.99","4.62","7.99","4.58","7.99","4.58","7.99","4.51","7.99","4.55","32.99","18.77","7.99","4.55","7.99","4.51","34.99","20.58","2490.00","1372.44","7.69","5.39","249.00","174.30","8.67","4.90","59.99","33.59","8.39","4.90","29.90","20.93","349.00","244.30","149000.00","104300.00","129.99","80.52","2490.00","1743.00","24.99","17.49","2200.00","1540.00","700.00","490.00","14900.00","10430.00","4500.00","3150.00","19900.00","13930.00","22.90","16.03","22.90","16.03"
Tier 8,"7.99","5.60","10.99","7.69","149.00","104.30","12.99","8.27","11.99","7.30","960.00000","672.00","50.00","34.30","10.98","7.69","58.00","40.60","240.00","160.00","119000.00","83300.00","600.00","355.93","599.00","355.34","27.99","19.59","29.90","20.93","129.99","79.82","29.99","20.99","29.99","20.99","7.99","4.66","69.00","38.64","85.00","47.60","8.00","5.20","85.00","47.60","8.99","5.38","8.99","5.33","8.99","5.29","8.99","5.29","8.99","5.24","8.99","5.24","17.99","10.49","8.99","5.24","8.99","5.24","8.99","5.20","249.00","144.05","8.99","5.20","8.99","5.20","8.99","5.20","8.99","5.20","8.99","5.16","8.99","5.16","8.99","5.08","8.99","5.12","37.99","21.62","8.99","5.12","8.99","5.08","39.99","23.52","2990.00","1648.03","8.79","6.16","279.00","195.30","9.91","5.60","69.99","39.19","9.59","5.60","34.90","24.43","399.00","279.30","179000.00","125300.00","149.99","92.91","2790.00","1953.00","29.99","20.99","2500.00","1750.00","800.00","560.00","17900.00","12530.00","5500.00","3850.00","22900.00","16030.00","24.90","17.43","24.90","17.43"
