,"Hong Kong (HKD)",,"Portugal (EUR)",,"Honduras (USD)",,"Paraguay (USD)",,"Croatia (HRK)",,"Hungary (HUF)",,"Qatar (QAR)",,"Indonesia (IDR)",,"Ireland (EUR)",,"Israel (ILS)",,"United Arab Emirates (AED)",,"Afghanistan (USD)",,"India (INR)",,"South Africa (ZAR)",,"Iraq (USD)",,"Iceland (USD)",,"Albania (USD)",,"Italy (EUR)",,"Armenia (USD)",,"Argentina (USD)",,"Zambia (USD)",,"Austria (EUR)",,"Australia (AUD)",,"Romania (RON)",,"Bosnia and Herzegovina (EUR)",,"Barbados (USD)",,"Serbia (EUR)",,"Russia (RUB)",,"Belgium (EUR)",,"Bulgaria (BGN)",,"Rwanda (USD)",,"Japan (JPY)",,"Bahrain (USD)",,"Bolivia (USD)",,"Saudi Arabia (SAR)",,"Brazil (BRL)",,"Sweden (SEK)",,"Singapore (SGD)",,"Slovenia (EUR)",,"Belarus (USD)",,"Slovakia (EUR)",,"Canada (CAD)",,"Congo, Democratic Republic of (USD)",,"El Salvador (USD)",,"Switzerland (CHF)",,"Cote D'Ivoire (USD)",,"South Korea (KRW)",,"Chile (CLP)",,"Cameroon (USD)",,"China (CNY)",,"Colombia (COP)",,"Costa Rica (USD)",,"Kazakhstan (KZT)",,"Thailand (THB)",,"Cyprus (EUR)",,"Czech Republic (CZK)",,"Tonga (USD)",,"Turkey (TRY)",,"Germany (EUR)",,"Taiwan (TWD)",,"Tanzania (TZS)",,"Denmark (DKK)",,"Lithuania (EUR)",,"Luxembourg (EUR)",,"Latvia (EUR)",,"Dominican Republic (USD)",,"Ukraine (USD)",,"Libya (USD)",,"Morocco (USD)",,"Moldova (USD)",,"Montenegro (EUR)",,"Ecuador (USD)",,"United States (USD)",,"Myanmar (USD)",,"Estonia (EUR)",,"Egypt (EGP)",,"Uruguay (USD)",,"Uzbekistan (USD)",,"Malta (EUR)",,"Maldives (USD)",,"Mexico (MXN)",,"Malaysia (MYR)",,"Spain (EUR)",,"Vietnam (VND)",,"Nigeria (NGN)",,"Nicaragua (USD)",,"Netherlands (EUR)",,"Vanuatu (USD)",,"Norway (NOK)",,"Finland (EUR)",,"Nauru (USD)",,"New Zealand (NZD)",,"France (EUR)",,"Gabon (USD)",,"United Kingdom (GBP)",,"Georgia (USD)",,"Greece (EUR)",,"Guatemala (USD)",,"Panama (USD)",,"Kosovo (EUR)",,"Peru (PEN)",,"Philippines (PHP)",,"Pakistan (PKR)",,"Poland (PLN)",
,"Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds","Price","Proceeds"
Free,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
Tier 1,"8.00","5.60","1.09","0.62","0.99","0.70","0.99","0.70","8.99","5.03","349","192","3.69","2.58","15000","10500","1.09","0.62","3.50","2.45","3.69","2.46","0.99","0.70","79.00","46.86","14.99","9.12","0.99","0.70","1.23","0.70","1.19","0.70","1.09","0.63","1.19","0.69","0.99","0.70","0.99","0.70","1.09","0.64","1.49","0.95","4.99","2.94","1.09","0.65","1.19","0.71","1.09","0.64","75.00","52.50","1.09","0.63","1.99","1.16","0.99","0.70","120","84","0.99","0.66","0.99","0.70","3.69","2.46","3.90","2.73","12.00","6.72","1.48","0.97","1.09","0.63","1.19","0.69","1.09","0.64","1.39","0.97","0.99","0.70","0.99","0.70","1.00","0.65","0.99","0.70","1200","764","690","483","0.99","0.70","6.00","4.12","3900.00","2294.12","0.99","0.70","399.00","279.30","29.00","20.30","1.09","0.64","25.00","14.46","0.99","0.70","6.99","4.15","1.09","0.64","33","21","2200.00","1540.00","9.00","5.04","1.09","0.63","1.09","0.65","1.09","0.63","0.99","0.70","0.99","0.70","0.99","0.70","0.99","0.70","1.19","0.69","0.89","0.62","0.99","0.70","0.99","0.70","0.99","0.70","1.09","0.64","16.99","11.89","0.99","0.67","1.19","0.72","1.09","0.65","0.99","0.70","19.00","13.30","3.90","2.58","1.09","0.63","22000","15400","350.00","245.00","0.99","0.70","1.09","0.63","0.99","0.70","11.00","6.16","1.09","0.62","0.99","0.70","1.69","1.03","1.09","0.64","0.99","0.70","0.99","0.58","0.99","0.70","1.09","0.62","0.99","0.70","0.99","0.70","1.09","0.65","3.50","2.45","49.00","34.30","150.00","105.00","4.99","2.84"
Tier 2,"15.00","10.50","2.29","1.30","1.99","1.40","1.99","1.40","16.99","9.51","699","385","7.29","5.10","29000","20300","2.29","1.30","6.90","4.83","7.29","4.86","1.99","1.40","159.00","94.32","29.99","18.25","1.99","1.40","2.47","1.40","2.39","1.40","2.29","1.31","2.49","1.45","1.99","1.40","1.99","1.40","2.29","1.34","2.99","1.90","9.99","5.88","2.29","1.37","2.49","1.48","2.29","1.34","149.00","104.30","2.29","1.32","4.49","2.62","1.99","1.40","250","175","1.99","1.33","1.99","1.40","7.29","4.86","7.90","5.53","25.00","14.00","2.98","1.95","2.29","1.31","2.49","1.45","2.29","1.34","2.79","1.95","1.99","1.40","1.99","1.40","2.00","1.30","1.99","1.40","2500","1591","1300","910","1.99","1.40","12.00","8.23","7900.00","4647.06","1.99","1.40","799.00","559.30","59.00","41.30","2.29","1.35","49.00","28.35","1.99","1.40","12.99","7.71","2.29","1.35","70","45","4500.00","3150.00","17.00","9.52","2.29","1.32","2.29","1.37","2.29","1.32","1.99","1.40","1.99","1.40","1.99","1.40","1.99","1.40","2.49","1.45","1.79","1.25","1.99","1.40","1.99","1.40","1.99","1.40","2.29","1.34","32.99","23.09","1.99","1.35","2.49","1.52","2.29","1.36","1.99","1.40","39.00","27.30","7.90","5.22","2.29","1.32","45000","31500","700.00","490.00","1.99","1.40","2.29","1.32","1.99","1.40","22.00","12.32","2.29","1.29","1.99","1.40","3.49","2.12","2.29","1.34","1.99","1.40","1.99","1.16","1.99","1.40","2.29","1.29","1.99","1.40","1.99","1.40","2.29","1.36","6.90","4.83","99.00","69.30","300.00","210.00","8.99","5.12"
Tier 3,"23.00","16.10","3.49","1.99","2.99","2.10","2.99","2.10","24.99","13.99","1090","601","10.99","7.69","45000","31500","3.49","1.99","10.90","7.63","10.99","7.33","2.99","2.10","249.00","147.71","49.99","30.43","2.99","2.10","3.71","2.10","3.59","2.10","3.49","2.00","3.49","2.04","2.99","2.10","2.99","2.10","3.49","2.04","4.49","2.86","14.99","8.82","3.49","2.09","3.49","2.08","3.49","2.04","229.00","160.30","3.49","2.02","6.49","3.79","2.99","2.10","370","259","2.99","1.99","2.99","2.10","10.99","7.33","10.90","7.63","35.00","19.60","4.48","2.93","3.49","2.00","3.49","2.04","3.49","2.04","3.99","2.79","2.99","2.10","2.99","2.10","3.00","1.95","2.99","2.10","3900","2482","1900","1330","2.99","2.10","18.00","12.35","10900.00","6411.76","2.99","2.10","1190.00","833.00","89.00","62.30","3.49","2.05","79.00","45.70","2.99","2.10","19.99","11.86","3.49","2.05","100","65","6500.00","4550.00","25.00","14.00","3.49","2.02","3.49","2.09","3.49","2.02","2.99","2.10","2.99","2.10","2.99","2.10","2.99","2.10","3.49","2.04","2.79","1.95","2.99","2.10","2.99","2.10","2.99","2.10","3.49","2.04","49.99","34.99","2.99","2.03","3.49","2.12","3.49","2.07","2.99","2.10","59.00","41.30","12.90","8.52","3.49","2.02","69000","48300","1100.00","770.00","2.99","2.10","3.49","2.02","2.99","2.10","33.00","18.48","3.49","1.97","2.99","2.10","4.99","3.04","3.49","2.04","2.99","2.10","2.99","1.74","2.99","2.10","3.49","1.97","2.99","2.10","2.99","2.10","3.49","2.07","9.90","6.93","149.00","104.30","450.00","315.00","13.99","7.96"
Tier 4,"28.00","19.60","4.49","2.56","3.99","2.80","3.99","2.80","34.99","19.59","1490","821","14.99","10.49","59000","41300","4.49","2.56","13.90","9.73","14.99","9.99","3.99","2.80","299.00","177.37","59.99","36.52","3.99","2.80","4.95","2.80","4.79","2.80","4.49","2.58","4.99","2.91","3.99","2.80","3.99","2.80","4.49","2.62","5.99","3.81","19.99","11.76","4.49","2.69","4.99","2.97","4.49","2.62","299.00","209.30","4.49","2.60","8.49","4.95","3.99","2.80","490","343","3.99","2.66","3.99","2.80","14.99","9.99","14.90","10.43","50.00","28.00","5.98","3.91","4.49","2.58","4.99","2.91","4.49","2.62","5.49","3.84","3.99","2.80","3.99","2.80","4.00","2.60","3.99","2.80","4900","3118","2500","1750","3.99","2.80","25.00","17.15","14900.00","8764.71","3.99","2.80","1590.00","1113.00","119.00","83.30","4.49","2.64","99.00","57.27","3.99","2.80","26.99","16.01","4.49","2.64","130","84","8900.00","6230.00","35.00","19.60","4.49","2.60","4.49","2.69","4.49","2.60","3.99","2.80","3.99","2.80","3.99","2.80","3.99","2.80","4.99","2.91","3.49","2.44","3.99","2.80","3.99","2.80","3.99","2.80","4.49","2.62","64.99","45.49","3.99","2.70","4.99","3.04","4.49","2.66","3.99","2.80","79.00","55.30","16.90","11.16","4.49","2.60","89000","62300","1400.00","980.00","3.99","2.80","4.49","2.60","3.99","2.80","44.00","24.64","4.49","2.53","3.99","2.80","6.99","4.25","4.49","2.62","3.99","2.80","3.99","2.33","3.99","2.80","4.49","2.53","3.99","2.80","3.99","2.80","4.49","2.66","12.90","9.03","199.00","139.30","600.00","420.00","18.99","10.81"
Tier 5,"38.00","26.60","5.49","3.12","4.99","3.50","4.99","3.50","42.99","24.07","1790","987","17.99","12.59","75000","52500","5.49","3.12","17.90","12.53","17.99","11.99","4.99","3.50","399.00","236.69","79.99","48.69","4.99","3.50","6.19","3.50","5.99","3.50","5.49","3.15","5.99","3.49","4.99","3.50","4.99","3.50","5.49","3.20","7.99","5.08","24.99","14.70","5.49","3.28","5.99","3.57","5.49","3.20","379.00","265.30","5.49","3.18","10.99","6.41","4.99","3.50","610","427","4.99","3.33","4.99","3.50","17.99","11.99","18.90","13.23","59.00","33.04","6.98","4.57","5.49","3.15","5.99","3.49","5.49","3.20","6.99","4.89","4.99","3.50","4.99","3.50","5.00","3.25","4.99","3.50","5900","3755","3500","2450","4.99","3.50","30.00","20.58","18900.00","11117.65","4.99","3.50","1990.00","1393.00","149.00","104.30","5.49","3.23","129.00","74.63","4.99","3.50","34.99","20.76","5.49","3.23","170","110","10900.00","7630.00","45.00","25.20","5.49","3.18","5.49","3.28","5.49","3.18","4.99","3.50","4.99","3.50","4.99","3.50","4.99","3.50","5.99","3.49","4.49","3.14","4.99","3.50","4.99","3.50","4.99","3.50","5.49","3.20","79.99","55.99","4.99","3.38","5.99","3.65","5.49","3.26","4.99","3.50","99.00","69.30","19.90","13.14","5.49","3.18","109000","76300","1800.00","1260.00","4.99","3.50","5.49","3.18","4.99","3.50","55.00","30.80","5.49","3.10","4.99","3.50","8.99","5.47","5.49","3.20","4.99","3.50","4.99","2.91","4.99","3.50","5.49","3.10","4.99","3.50","4.99","3.50","5.49","3.26","16.90","11.83","249.00","174.30","750.00","525.00","23.99","13.65"
Tier 6,"48.00","33.60","6.99","3.98","5.99","4.20","5.99","4.20","49.99","27.99","2290","1262","20.99","14.69","89000","62300","6.99","3.98","19.90","13.93","20.99","13.99","5.99","4.20","499.00","296.02","99.99","60.86","5.99","4.20","7.43","4.20","7.19","4.20","6.99","4.01","6.99","4.08","5.99","4.20","5.99","4.20","6.99","4.08","9.99","6.36","29.99","17.64","6.99","4.18","6.99","4.16","6.99","4.08","459.00","321.30","6.99","4.04","12.99","7.58","5.99","4.20","730","511","5.99","3.99","5.99","4.20","20.99","13.99","22.90","16.03","69.00","38.64","8.98","5.87","6.99","4.01","6.99","4.08","6.99","4.08","8.49","5.94","5.99","4.20","5.99","4.20","6.00","3.90","5.99","4.20","7500","4773","3900","2730","5.99","4.20","40.00","27.44","22900.00","13470.59","5.99","4.20","2290.00","1603.00","179.00","125.30","6.99","4.11","149.00","86.20","5.99","4.20","39.99","23.72","6.99","4.11","190","123","12900.00","9030.00","49.00","27.44","6.99","4.04","6.99","4.18","6.99","4.04","5.99","4.20","5.99","4.20","5.99","4.20","5.99","4.20","6.99","4.08","5.49","3.84","5.99","4.20","5.99","4.20","5.99","4.20","6.99","4.08","99.99","69.99","5.99","4.06","6.99","4.25","6.99","4.15","5.99","4.20","109.00","76.30","24.90","16.44","6.99","4.04","129000","90300","2200.00","1540.00","5.99","4.20","6.99","4.04","5.99","4.20","65.00","36.40","6.99","3.95","5.99","4.20","9.99","6.08","6.99","4.08","5.99","4.20","5.99","3.49","5.99","4.20","6.99","3.95","5.99","4.20","5.99","4.20","6.99","4.15","19.90","13.93","299.00","209.30","900.00","630.00","27.99","15.93"
Tier 7,"53.00","37.10","7.99","4.55","6.99","4.90","6.99","4.90","59.99","33.59","2490","1372","24.99","17.49","99000","69300","7.99","4.55","25.90","18.13","24.99","16.66","6.99","4.90","549.00","325.68","109.99","66.95","6.99","4.90","8.67","4.90","8.39","4.90","7.99","4.58","7.99","4.66","6.99","4.90","6.99","4.90","7.99","4.66","10.99","6.99","34.99","20.58","7.99","4.78","7.99","4.76","7.99","4.66","529.00","370.30","7.99","4.62","14.99","8.74","6.99","4.90","860","602","6.99","4.66","6.99","4.90","24.99","16.66","24.90","17.43","85.00","47.60","9.98","6.53","7.99","4.58","7.99","4.66","7.99","4.66","9.99","6.99","6.99","4.90","6.99","4.90","7.00","4.55","6.99","4.90","8900","5664","4500","3150","6.99","4.90","45.00","30.87","25900.00","15235.29","6.99","4.90","2490.00","1743.00","199.00","139.30","7.99","4.70","179.00","103.55","6.99","4.90","49.99","29.66","7.99","4.70","230","149","14900.00","10430.00","59.00","33.04","7.99","4.62","7.99","4.78","7.99","4.62","6.99","4.90","6.99","4.90","6.99","4.90","6.99","4.90","7.99","4.66","6.49","4.54","6.99","4.90","6.99","4.90","6.99","4.90","7.99","4.66","119.99","83.99","6.99","4.74","7.99","4.86","7.99","4.74","6.99","4.90","129.00","90.30","29.90","19.75","7.99","4.62","149000","104300","2500.00","1750.00","6.99","4.90","7.99","4.62","6.99","4.90","75.00","42.00","7.99","4.51","6.99","4.90","11.99","7.30","7.99","4.66","6.99","4.90","6.99","4.08","6.99","4.90","7.99","4.51","6.99","4.90","6.99","4.90","7.99","4.74","22.90","16.03","349.00","244.30","1100.00","770.00","32.99","18.77"
Tier 8,"58.00","40.60","8.99","5.12","7.99","5.60","7.99","5.60","69.99","39.19","2990","1648","29.99","20.99","119000","83300","8.99","5.12","29.90","20.93","29.99","19.99","7.99","5.60","599.00","355.34","129.99","79.12","7.99","5.60","9.91","5.60","9.59","5.60","8.99","5.16","9.99","5.83","7.99","5.60","7.99","5.60","8.99","5.24","12.99","8.27","39.99","23.52","8.99","5.38","9.99","5.95","8.99","5.24","599.00","419.30","8.99","5.20","17.99","10.49","7.99","5.60","980","686","7.99","5.33","7.99","5.60","29.99","19.99","29.90","20.93","99.00","55.44","10.98","7.18","8.99","5.16","9.99","5.83","8.99","5.24","10.99","7.69","7.99","5.60","7.99","5.60","8.00","5.20","7.99","5.60","9900","6300","5500","3850","7.99","5.60","50.00","34.30","29900.00","17588.24","7.99","5.60","2990.00","2093.00","249.00","174.30","8.99","5.29","199.00","115.12","7.99","5.60","54.99","32.62","8.99","5.29","270","175","17900.00","12530.00","69.00","38.64","8.99","5.20","8.99","5.38","8.99","5.20","7.99","5.60","7.99","5.60","7.99","5.60","7.99","5.60","9.99","5.83","7.49","5.24","7.99","5.60","7.99","5.60","7.99","5.60","8.99","5.24","129.99","90.99","7.99","5.41","9.99","6.08","8.99","5.33","7.99","5.60","149.00","104.30","34.90","23.05","8.99","5.20","179000","125300","2900.00","2030.00","7.99","5.60","8.99","5.20","7.99","5.60","85.00","47.60","8.99","5.08","7.99","5.60","13.99","8.52","8.99","5.24","7.99","5.60","7.99","4.66","7.99","5.60","8.99","5.08","7.99","5.60","7.99","5.60","8.99","5.33","24.90","17.43","399.00","279.30","1200.00","840.00","37.99","21.62"
